SF,TP,CL,len_CL,len_SF
3002388,1,1000003,1,14
3000156,1,1000000,1,13
3001404,1,1000004,1,13
3000580,1,1000001,1,13
3001330,1,1000001,1,13
3001373,1,1000000,1,13
3001383,1,1000000,1,13
3002255,1,1000000,1,13
3002164,1,1000003,1,13
3001354,1,1000000,1,13
3000601,1,1000000,1,13
3002162,1,1000000,1,13
3000809,1,1000003,1,13
3002154,1,1000001,1,13
3001498,1,1000003,1,13
3002071,1,1000001,1,13
3002065,1,1000001,1,13
3000737,1,1000002,1,13
3001645,1,1000000,1,13
3001670,1,1000002,1,13
3000049,1,1000002,1,13
3000463,1,1000004,1,13
3001962,1,1000000,1,13
3001291,1,1000002,1,13
3000646,1,1000003,1,13
3001005,1,1000000,1,13
3002606,1,1000000,1,13
3002449,1,1000003,1,13
3002678,1,1000001,1,13
3001193,1,1000004,1,13
3001907,1,1000000,1,13
3000243,1,1000000,1,13
3001847,1,1000003,1,13
3001168,1,1000001,1,13
3000963,1,1000002,1,13
3001894,1,1000000,1,13
3002616,1,1000001,1,13
3001258,1,1000003,1,12
3002440,1,1000000,1,12
3001096,1,1000002,1,12
3000142,1,1000001,1,12
3000745,1,1000000,1,12
3001511,1,1000000,1,12
3001027,1,1000001,1,12
3002104,1,1000000,1,12
3001093,1,1000003,1,12
3000366,1,1000000,1,12
3000189,1,1000000,1,12
3000990,1,1000002,1,12
3001465,1,1000001,1,12
3001936,1,1000001,1,12
3000552,1,1000002,1,12
3001392,1,1000002,1,12
3000025,1,1000003,1,12
3000148,1,1000003,1,12
3000934,1,1000003,1,12
3001273,1,1000003,1,12
3002282,1,1000001,1,12
3000904,1,1000000,1,12
3000562,1,1000000,1,12
3001910,1,1000001,1,12
3000657,1,1000002,1,12
3000724,1,1000003,1,12
3000259,1,1000003,1,12
3000337,1,1000002,1,12
3000495,1,1000003,1,12
3001926,1,1000003,1,12
3000728,1,1000004,1,11
3002052,1,1000001,1,11
3002048,1,1000001,1,11
3000669,1,1000000,1,11
3001054,1,1000000,1,11
3002709,1,1000001,1,11
3000448,1,1000001,1,11
3001245,1,1000003,1,11
3000192,1,1000003,1,11
3000788,1,1000003,1,11
3002117,1,1000001,1,11
